{'BTCUSDT':               datetime   closes
 0  2022-03-21 12:00:00  41203.1
 1  2022-03-21 13:00:00  41085.0
 2  2022-03-21 14:00:00  41016.7
 3  2022-03-21 15:00:00  41198.3
 4  2022-03-21 16:00:00  40768.6
 5  2022-03-21 17:00:00  41035.7
 6  2022-03-21 18:00:00  40924.3
 7  2022-03-21 19:00:00  41168.0
 8  2022-03-21 20:00:00  41104.3
 9  2022-03-21 21:00:00  41278.0
 10 2022-03-21 22:00:00  41098.1
 11 2022-03-21 23:00:00  40982.0
 12 2022-03-22 00:00:00  41106.5
 13 2022-03-22 01:00:00  41148.9
 14 2022-03-22 02:00:00  41815.9
 15 2022-03-22 03:00:00  42230.0
 16 2022-03-22 04:00:00  42992.4
 17 2022-03-22 05:00:00  42850.0
 18 2022-03-22 06:00:00  42241.5
 19 2022-03-22 07:00:00  42197.9
 20 2022-03-22 08:00:00  42535.8
 21 2022-03-22 09:00:00  42448.0
 22 2022-03-22 10:00:00  42802.7
 23 2022-03-22 11:00:00  42977.0
 24 2022-03-22 12:00:00  42937.9
 25 2022-03-22 13:00:00  42816.2
 26 2022-03-22 14:00:00  42739.5
 27 2022-03-22 15:00:00  42567.2
 28 2022-03-22 16:00:00  42506.9
 29 2022-03-22 17:00:00  42611.9
 30 2022-03-22 18:00:00  42548.4
 31 2022-03-22 19:00:00  42268.2
 32 2022-03-22 20:00:00  42566.7
 33 2022-03-22 21:00:00  42805.0
 34 2022-03-22 22:00:00  42523.1
 35 2022-03-22 23:00:00  42349.8
 36 2022-03-23 00:00:00  42386.4
 37 2022-03-23 01:00:00  42314.4
 38 2022-03-23 02:00:00  42300.9
 39 2022-03-23 03:00:00  42058.7
 40 2022-03-23 04:00:00  41933.9
 41 2022-03-23 05:00:00  42000.1
 42 2022-03-23 06:00:00  42207.1
 43 2022-03-23 07:00:00  42094.1
 44 2022-03-23 08:00:00  42208.9
 45 2022-03-23 09:00:00  42150.1
 46 2022-03-23 10:00:00  42142.0
 47 2022-03-23 11:00:00  42028.8
 48 2022-03-23 12:00:00  42335.9,
 'ETHUSDT':               datetime   closes
 0  2022-03-21 12:00:00  2912.02
 1  2022-03-21 13:00:00  2912.88
 2  2022-03-21 14:00:00  2923.50
 3  2022-03-21 15:00:00  2954.13
 4  2022-03-21 16:00:00  2905.30
 5  2022-03-21 17:00:00  2919.54
 6  2022-03-21 18:00:00  2903.90
 7  2022-03-21 19:00:00  2917.13
 8  2022-03-21 20:00:00  2908.23
 9  2022-03-21 21:00:00  2919.74
 10 2022-03-21 22:00:00  2907.00
 11 2022-03-21 23:00:00  2889.08
 12 2022-03-22 00:00:00  2902.97
 13 2022-03-22 01:00:00  2897.17
 14 2022-03-22 02:00:00  2962.96
 15 2022-03-22 03:00:00  3007.33
 16 2022-03-22 04:00:00  3028.30
 17 2022-03-22 05:00:00  3013.24
 18 2022-03-22 06:00:00  2984.43
 19 2022-03-22 07:00:00  2992.79
 20 2022-03-22 08:00:00  3013.71
 21 2022-03-22 09:00:00  3006.01
 22 2022-03-22 10:00:00  3018.98
 23 2022-03-22 11:00:00  3020.50
 24 2022-03-22 12:00:00  3009.89
 25 2022-03-22 13:00:00  3001.97
 26 2022-03-22 14:00:00  3007.53
 27 2022-03-22 15:00:00  3002.17
 28 2022-03-22 16:00:00  2998.45
 29 2022-03-22 17:00:00  3006.42
 30 2022-03-22 18:00:00  2999.80
 31 2022-03-22 19:00:00  2982.71
 32 2022-03-22 20:00:00  3000.79
 33 2022-03-22 21:00:00  3014.82
 34 2022-03-22 22:00:00  2999.56
 35 2022-03-22 23:00:00  2968.49
 36 2022-03-23 00:00:00  2973.42
